statistic,specificaiton ,estimate_exp,std.error_exp,CI_L,CI_U,estimate_PSID,std.error_PSID,CI_L,CI_U
Mean Diff,NA,1794,670,479,3109,-15204,656,-16490,-13919
OLS,a,1582,659,291,2873,6302,1209,3932,8673
OLS,b,1507,657,219,2795,4699,1027,2686,6712
OLS,c,1501,663,202,2800,4284,1031,2263,6306
Reg. Impute,a,1462,630,228,2697,-11195,1741,-14608,-7782
Reg. Impute,b,1454,631,218,2690,-10398,3549,-17355,-3442
Reg. Impute,c,1428,642,170,2685,-11920,3498,-18776,-5065
IPW,a,1537,630,303,2772,-13507,2800,-18996,-8019
IPW,b,1470,631,234,2706,-7246,3550,-14204,-288
IPW,c,1468,642,210,2726,-7487,3499,-14344,-629
D. Robust,a,1473,630,239,2707,-13507,2800,-18996,-8019
D. Robust,b,1451,631,215,2687,-11419,3549,-18376,-4463
D. Robust,c,1423,642,166,2682,-12504,3498,-19360,-5649
N1 Match,a,1829,780,302,3358,-15619,1153,-17880,-13359
N1 Match,b,1876,735,435,3316,-9350,3975,-17140,-1559
N1 Match,c,1672,726,248,3095,-9560,4034,-17467,-1656
P Match,a,1542,646,275,2808,-15859,6750,-29089,-2629
P Match,b,1489,765,-12,2989,8646,15056,-20863,38156
P Match,c,1257,677,-70,2584,-9562,4034,-17468,1657
